,phi,phi_u,u,v
316,52.72020305562475,38.63502214678809,37.0,60.0
317,52.60124349020583,38.68050814176653,37.0,60.0
318,52.52093012649134,38.71131699621026,37.0,60.0
319,52.48015046060237,38.72699128539004,37.0,60.0
320,52.479233453544,38.727343990521966,37.0,60.0
321,52.51793581646991,38.71246719696938,37.0,60.0
322,52.59544805510874,38.68272862018894,37.0,60.0
323,52.71042001108327,38.63875619424688,37.0,60.0
324,52.86100427183673,38.58141194607331,37.0,60.0
325,53.04491463172816,38.51175721014465,37.0,60.0
326,53.2594959055193,38.43101181058024,37.0,60.0
327,53.50180090258725,38.340510095780665,37.0,60.0
328,53.76867028614832,38.241656653575994,37.0,60.0
329,54.0568113295545,38.13588420902581,37.0,60.0
330,54.36287216042335,38.024615691715155,37.0,60.0
331,54.683508847797846,37.90923184707538,37.0,60.0
332,55.01544352863054,37.79104514455497,37.0,60.0
333,55.35551259149185,37.671280174076266,37.0,60.0
334,55.70070466495761,37.55106026642895,37.0,60.0
335,56.04818875076166,37.4313997435718,37.0,60.0
336,56.395333278884586,37.313201000984925,37.0,60.0
337,56.73971714591009,37.19725553144955,37.0,60.0
338,57.079133946483374,37.0842479951458,37.0,60.0
339,57.41159064592519,36.974762499519365,37.0,60.0
340,57.73530189801494,36.86929035025604,37.0,60.0
341,58.04868111240697,36.768238652029524,37.0,60.0
342,58.35032924418956,36.67193925932755,37.0,60.0
343,58.63902213211672,36.580657693206824,37.0,60.0
344,58.9136970655609,36.49460174297245,37.0,60.0
345,59.173439122372436,36.413929559441506,37.0,60.0
346,59.417467696061955,36.33875711787512,37.0,60.0
347,59.645123523709124,36.269164984614484,37.0,60.0
348,59.855856436393225,36.205204363574964,37.0,60.0
349,60.0492139810475,36.146902429085735,37.0,60.0
350,60.22483100496668,36.094266972236134,37.0,60.0
351,60.38242024984848,36.047290400911365,37.0,60.0
352,60.52176396920086,36.005953140847325,37.0,60.0
353,60.64270655922576,35.97022648781415,37.0,60.0
354,60.74514817708343,35.940074960678515,37.0,60.0
355,60.829039310146946,35.91545820257201,37.0,60.0
356,60.89437625409698,35.89633247345605,37.0,60.0
357,60.94119745532761,35.88265177258868,37.0,60.0
358,60.96958067317709,35.874368624181876,37.0,60.0
359,60.97964091918088,35.87143455418652,37.0,60.0
360,60.97152913322723,35.87380028087232,37.0,60.0
361,60.94543155965351,35.881415636830326,37.0,60.0
362,60.901569789517126,35.894229235328595,37.0,60.0
363,60.840201438134486,35.912187889682684,37.0,60.0
364,60.761621429174525,35.93523579054179,37.0,60.0
365,60.66616385781384,35.963313442817174,37.0,60.0
366,60.554204405413586,35.996356361487756,37.0,60.0
367,60.426163276568715,36.03429352382254,37.0,60.0
368,60.282508625906175,36.07704557480506,37.0,60.0
